Component,1,2,3,4,5,6
The system is accurate,0.799,,,,,
The system is unreliable,-0.736,,,,,
The interaction with the system is unpredictable,-0.719,,,,,
The system didn't always do what I wanted,-0.718,,,,,
The system didn't always do what I expected,-0.713,,,,,
The system is dependable,0.696,,,,,
The system makes few errors,0.674,,,,,
The interaction with the system is consistent,0.586,,,,,
The interaction with the system is efficient,0.580,,,,,
The system is useful,,0.698,,,,
The system is pleasant,,0.668,,,,
The system is friendly,,0.621,,,,
I was able to recover easily from errors,,0.606,,,,
I enjoyed using the system,,0.587,,,,
It is clear how to speak to the system,,0.578,,,,
It is easy to learn to use the system,,0.568,,,,
I would use this system,,0.538,,,,
I felt in control of the interaction with the system,,0.482,,,,
I felt confident using the system,,,0.746,,,
I felt tense using the system,,,-0.725,,,
I felt calm using the system,,,0.699,,,
A high level of concentration is required when using the system,,,-0.610,,,
The system is easy to use,,,0.604,,,
The interaction with the system is repetitive,,,,0.757,,
The interaction with the system is boring,,,,0.684,,
The interaction with the system is irritating,,,,0.586,,
The interaction with the system is frustrating,,,,0.509,,
The system is too inflexible,,,,0.429,,
I sometimes wondered if I was using the right word,,,,,0.676,
I always knew what to say to the system,,,,,-0.609,
I was not always sure what the system was doing,,,,,0.597,
It is easy to lose track of where you are in an interaction with the system,,,,,0.597,
The interaction with the system is fast,,,,,,−0.778
The system responds too slowly,,,,,,0.723
